ID,SchemaVersion,SourceName,SourceURL,Company,PublishedDate,IsRemote,RoleFamily,CollectedAt
3,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/lanch/senior-business-operations-manager-berlin-22375,LANCH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
4,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/dmrz/customer-support-pflegesoftware-dusseldorf-438400,DMRZ,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
5,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/dmrz/softwaretester-healthcare-saas-dusseldorf-280548,DMRZ,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
6,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/lanch/senior-business-developer-berlin-308519,LANCH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
7,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/european-it-consultancy-eitco-gmbh/devops-engineer-application-management-services-berlin-bonn-essen-254943,European IT Consultancy EITCO GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
8,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/consolinno/werkstudent-energy-optimization-product-management-munchen-58718,Consolinno,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
9,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/dmrz/strategy-manager-krankentransport-business-development-go-to-market-dusseldorf-151957,DMRZ,2026-09-11T18:31:30Z,0,Product,2026-09-11T18:31:30Z
10,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/bloomwell-group-gmbh/werkstudent-patient-operations-office-frankfurt-210998,Bloomwell Group GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
11,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/consolinno/werkstudent-energy-optimization-development-munchen-395209,Consolinno,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
12,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/emma-noah-gmbh/produktentwicklerin-dusseldorf-64619,emma & noah GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
15,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/digital-career-institute/werkstudentin-founders-associate-voll-remote-oder-vor-ort-deutschlandweit-germany-wide-274109,Digital Career Institute,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
16,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/digital-career-institute/werkstudent-revops-sales-operations-voll-remote-deutschlandweit-germany-wide-273617,Digital Career Institute,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
18,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/digital-career-institute/senior-performance-marketing-manager-google-ads-voll-remote-deutschlandweit-germany-wide-197083,Digital Career Institute,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
20,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/ineratec-gmbh-1/engineering-manager-power-to-x-e-fuels-plant-engineering-karlsruhe-132079,Ineratec Gmbh 1,2026-09-11T18:31:30Z,0,Management,2026-09-11T18:31:30Z
21,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/kreditanalyst-finanzierung-leasing-munich-353509,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
22,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/personalreferent-entgeltabrechnung-starnberg-247480,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
23,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/produktmanager-lebensmittel-handelsmarken-starnberg-66860,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
24,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/1st-level-support-bonn-474138,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
25,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/it-teamleiter-interim-munich-355194,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
26,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/syntax-institut/dozentin-fur-sap-fi-co-fur-edtech-startup-remote-berlin-425245,Syntax Institut,2026-09-11T18:31:30Z,1,AI/ML,2026-09-11T18:31:30Z
27,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/kreditanalyst-munich-334221,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
28,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/mitarbeiter-in-der-it-sicherheit-makro-sicherheitsrichtlinien-munich-71847,MY Humancapital GmbH,2026-09-11T18:31:30Z,0,Engineering,2026-09-11T18:31:30Z
